;input;path;Lev;generated
4082;mouse 1 2;О И К А К И М Я Г Я Э Ж Т;10; О Ф Х А К Л Е Р Ш Т
4083;mouse 1 3;О И К А Х Ц Ф О М Я Г Я Э Ж Т Щ У З Г Ц Х А К И Ф Ц Г З У З Г Ц Х А Х Ц Ф М Я Ц Х А Д Х Ц З Ц Х К И О Ы О Ф Ц Г З У Щ Т;55; О Ф Х А К Л Е Р Ш Т
4084;mouse 1 4;О М Я Г Ц Х А Д С Ш Р;8; О Ф Х А К Л Е Р Ш Т
4085;mouse 1 5;О М Я Г З У Щ Ж Э Я Г Ц Х А Х Ц Г Я Э М И Л К А Х Ц Г Я Э М И К А Х Ц Г З У З Г Ц Ф О Ы О Ф Ц Я Э Ж Т;45; О Ф Х А К И М Я Г Т
4086;mouse 2 1;О Ф Х А Д С Ш Р Е Л К А Х Ц Г З У Щ Т Ж Э Я Г З У Щ Т Ж Э Я Г Ц Ф М Э Ж Т;32; О Ф Х А К Л Е Р Ш Т
4087;mouse 2 2;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я Ц Ф Х К И К А Х Ц Я Г Я Э Ж Щ Т Щ У З Г Ц Х А Д С Ш Р;37; О Ф Х А К Л Е Р Ш Т
4088;mouse 2 3;О М Я Г Ц Ф М Э Ж Щ У З Ц Х А Д С Ш Р Е Л К А Х Ц Г Я З У З Г Ц Ф О Ы О И К А К Л Е Р;36; О Ф Х А К И М Я Г Т
4089;mouse 2 4;О Ф Ц Г З У Щ Т Ж Э Я Г Ц Х А К Л Е Р;15; О Ф Х А К И М Я Г Т
4090;mouse 2 5;О Ф Ц Г З У Щ Т Ж Э Я Г Я Э М Ф Х А К И О Ы О М Я Г Ц Х А К Л И Ф Ц Г Ц Х А К И М Э Ж Т Щ У З Г Ц Ф О Ы О М Я Г З У Щ У З Г Ц Х А К А К Л И Ф Ц Г Я М О Ы О И Л Е Р;73; О Ф Х А К И М Я Г Т
4091;mouse 2 6;О Ф Х А К И О Ы О Ф Ц Г З У Щ Т Ж В Э Я Г Ц Х А Д С Ш Р;20; О Ф Х А К И М Я Г Т
4092;mouse 2 7;О Ф Х А К А Х Ц Г З У З Г Ц Ф И К А Х Ц Г Я М Ф Ц Г Ц Х А К И М Я Г Ц Х А К Л И М Я Г Ц Ф И К А К Л Е Р;43; О Ф Х А К И М Я Г Т
4093;mouse 2 8;О Ф Ц Г Я Ц Х А К Л И М Я Г Ц Х А К Л Е Р Ш С Д А Х А К И Ф Ц Г Я М Ф Х А К Л И М Я Г Ц Х А Х Ц Г К О Е Ц О Ы Т О Г О В Р Е М Е И З У Щ Т;60; О Ф Х А К И М Я Г Т
4094;mouse 2 9;О Ф Х А Д С Ш С Д А Х Ц Г Я Г Ц Х А К И М Я Г Ц Г Я Э Ж Т Ж Э Я Г Ц Ф О Ы О И К А Х Ц Г Я Г Ц Х А Д С Ш Р;44; О Ф Х А К И М Я Г Т
4095;mouse 6 14;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4096;mouse 6 1;О Ф Х А К Л Е Р;0; О Ф Х А К Л Е Р Т
4097;mouse 6 2;О М Я Ц Х А К И М Я Г Ц Х К Л Е Р;9; О Ф Х А К И М Я Г Т
4098;mouse 6 3;О Ф Ц Г Я Э Ж Т Ж Э М И К А К Л Е Р;15; О Ф Х А К И М Я Г Т
4099;mouse 6 4;О Ф Х А К И М Э В Э Я Г З У З Ц Х А К Л И М Я Ц Х А К Л Е Р;21; О Ф Х А К И М Я Г Т
4100;mouse 6 5;О Ф Ц Г Ц Х А К И М Я Ц Х А К И М Я Г Ц Х А К И М Э Ж Т;19; О Ф Х А К И М Я Г Т
4101;mouse 6 6;О Ф Х А К И М Я Г З У Щ Т;4; О Ф Х А К И М Я Г Т
4102;mouse 6 7;О Ф Х А Х Ц Г Я М И К А Д С Ш Р;11; О Ф Х А К И М Я Г Т
4103;mouse 6 8;О Ф Х А Х Ц Г Я М И К А Х Ц Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
4104;mouse 6 9;О Ф Ц Г Ц Ф О Ы О М Я Г Ц Ф Х А Д С Ш Р;17; О Ф Х А Х Ц Г Я М Т
4105;mouse 6 10;О Ф Х А Х Ц Г Я Э Ж Т Щ У З Г Ц Х А К И М Э Ж Щ У З Г Ц Х А К Л Е Р;25; О Ф Х А Х Ц Г Я М Т
4106;mouse 6 11;О Ф Х А Х Ц Г Я М И К А Д С Ш Р;7; О Ф Х А Х Ц Г Я М Т
4107;mouse 6 12;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4108;mouse 6 13;О Ф Х А Х Ц Г Ц Х А Х Ц Г Я Э Ж Т;9; О Ф Х А Х Ц Г Я М Т
4109;mouse 6 15;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
4110;mouse 6 16;О Ф Х А К Л И К А К Д А Х Ц Г Ц Ф И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
4111;mouse 6 17;О Ф Ц Г Ц Х А К И К А К И М Я Г Ц Х А К И М Э Ж Т Щ У З Г Ц Х А К Л Е Р;30; О Ф Х А Х Ц Г Я М Т
4112;mouse 6 18;О Ф Х А;5; О Ф Х А Х Ц Г Я М Т
4113;mouse 6 18;Х Ф Ц Г Я Э Я Г Ц Х А Х Ц Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я М Т
4114;mouse 6 19;О М Я Э Ж Т Ж В Э Ж Т;9; О Ф Х А Х Ц Г Я Э Т
4115;mouse 6 20;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4116;mouse 6 21;О Ф Х А Х Ц Г З У З Ц Х А К Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
4117;mouse 6 22;О Ф Х А Х Ф О Ы О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4118;mouse 3 1;О Ф Ц Г Я Э М Ф Х А Д С Ш Р Е Л К А Х Ц Г Я М Э Ж Т;21; О Ф Х А К Л Е Р Ш Т
4119;mouse 3 2;О М Я Г З У Щ Т Ж Э Я Г Ц Х А К И М Я Г Ц Х А К Л Е Р;21; О Ф Х А К Л Е Р Ш Т
4120;mouse 3 3;О Ф Х А Д С Ш Р Е Л И М Я Г Я М О Ы О И К А Х Ц Г Ц Г Я М Ф Х А К Л Е Ш С Д Х Ц Г Я Э Ж Т;37; О Ф Х А К И М Я Г Т
4121;mouse 3 4;О Ф Ц Г Я М И К А Х А К Л И М Я Г Ц Х А Д С Д Х Ц Г Я М О Ы О И М Я Г Я М Ф Х А Х Ц Г Ц Г Ц Х К И М Э В Э Я Г З У Щ Т;50; О Ф Х А К И М Я Г Т
4122;mouse 3 5;О Ф Ц Г Я Г Ц Х А Х Ц Г Я Г Я М И К А Х Ц Г Я М О Ы О И К А К И Ф Ц Г Я М Ф Х А К Л Е Р;37; О Ф Х А К И М Я Г Т
4123;mouse 3 6;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
4124;mouse 3 7;О Ф Ц Г Я Э Ж Т Щ У З Г Ц Х А К И Ф Х А К И Ф Ц Г З У Щ Т;22; О Ф Х А К И М Я Г Т
4125;mouse 3 8;О Ф Х А К Х Ц Г Я М Ф Х А К И М Я Г Ц Г Ц Х А К А К И М Я Г Ц Х А Д А Х А Х Ф Ц Г Я Э Ж Т Ж Э Я Г Ц Х А Д С Ш Р;47; О Ф Х А К И М Я Г Т
4126;mouse 3 9;О М Я Г Ц Х А К И М Я Г Ц Х К И Л К А Х Ц Ф О Ы О И Л Е Р;21; О Ф Х А К И М Я Г Т
4127;mouse 3 10;О Ф Х А Х К И М Я Г З У Щ У З Г Ц Х А К И М Я Г Ц Х А К И Ф Х А К И Ф Ц Г Ц Х А Х Ц Г Я М И К А Х Ц Г Ц Х А Х Ц Х К А Х Ц К О Е Ц О Ы Т О Г О В Р Е М Е И Г Я М И К А Х Ф О Ы О И Л Е Р;83; О Ф Х А Х Ц Г Я М Т
4128;mouse 4 1;О Ф Х А Х Ф О Ы О Ф Х А Д С Ш Р;11; О Ф Х А К Л Е Р Ш Т
4129;mouse 4 2;О Ф Ц Г Я Э Ж Т Щ У З У Щ Т Ж Э Я Г Ц Х А К Л К А Х Ц Г Я Э В Э Я Г Ц Х А Д С Ш Р;34; О Ф Х А К И М Я Г Т
4130;mouse 4 3;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
4131;mouse 4 4;О Ф Х А Х Ц Г Я Э В Ж Т;7; О Ф Х А К И М Я Г Т
4132;mouse 4 5;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
4133;mouse 4 6;О Ф Х А Х Ф О Ы О Ф Х А Д С Ш Р;12; О Ф Х А К И М Я Г Т
4134;mouse 4 7;О Ф Ц Г З У Щ Т Щ У З Г Ц Ф О Ы О Ф Х А Х Ц Я Г Ц Х А Д С Ш С Д А Х Ф О Ы О Ф Х А Д С Ш Р;40; О Ф Х А К И М Я Г Т
4135;mouse 4 8;О Ф Ц Г З У З Ц Х А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Х Ц Г Я М Ф Ц Г Я Э Я Г Ц Х А К И М Я Г Ц Х А Д С Ш Р;44; О Ф Х А К И М Я Г Т
4136;mouse 4 9;О Ф Ц Г Ц Х А К И Ф Х А Х Ц Г Я Э В Ж Т Щ У З Г Ц Ф О Ы О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Х А Д С Ш Р;42; О Ф Х А К И М Я Г Т
4137;mouse 4 10;О Ф Ц Г Я Э Я Г Ц Х А К И М Э Ж Щ У З Г Ц Х А Х Ц Г З У Щ Т;22; О Ф Х А К И М Я Г Т
4138;mouse 4 11;О И К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4139;mouse 4 12;О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Х А Х Ф И К А Х Ц Г Ц Ф И К А К И М Я Г Ц Х А Х Ц Г Я М Ф Ц Г З У Щ У З Ц Х А К И Ф Ц Г Ц Х А Д С Ш Р;58; О Ф Х А Х Ц Г Я М Т
4140;mouse 4 13;О Ф Х А К И М Э Ж Щ У З Г Ц Х А Х Ц Г Ц Х А Х Ф О Ы О И Л Е Р;24; О Ф Х А Х Ц Г Я М Т
4141;mouse 5 1;О Ф Х А К И Ф Ц Г Ц Х А К Л Е Р;9; О Ф Х А К Л Е Р Е Т
4142;mouse 5 2;О Ф Ц Г Ц Х А Д К А Д С Ш Р;9; О Ф Х А К И М Я Г Т
4143;mouse 5 3;О Ф Х А Х Ц Г Я Э Я Г Ц Х А Х Ц Г З У З Г Ц Ф О Ы О М Э Ж Т;24; О Ф Х А К И М Я Г Т
4144;mouse 5 4;О Ф Х А К И Ф Ц Г З У З Ц Ф Ц Г Ц Х А К И Ф М Я Г Ц Х А К И М Я Г Ц Х А Х Ц Г Ц З У Щ Т;35; О Ф Х А К И М Я Г Т
4145;mouse 5 5;О М Я Г Ц Х А К А Х Ц Г Я М И Л Е Р;13; О Ф Х А К И М Я Г Т
4146;mouse 5 6;О Ф Х А К И Ф Ц Г Я М И К А Х Ц Г З У Щ Т;13; О Ф Х А К И М Я Г Т
4147;mouse 5 7;О Ф Х А К И М Я Г Ц Х А К Л Е Р;7; О Ф Х А К И М Я Г Т
4148;mouse 5 8;О Ф Х А Х Ц Г З У З Г Ц Х А К И М Я Г Ц Х А К И Ф И Л Е Р;20; О Ф Х А К И М Я Г Т
4149;mouse 5 9;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я М Т
4150;mouse 5 10;О Ф Х А К И М Я Г Ц Х А К И М Я Г Ц Г Я М Ф Х А К И О Ы О Ф Х А Х Ц Г Я Э Ж Т;30; О Ф Х А Х Ц Г Я М Т
4151;mouse 5 11;О Ф Х А К И Ф Ц Г Я М Ф Х А К И М Я Г Ц Х А Х Ф И Ф Х А Х Ц Г Я Э Ж Т Щ У З Г Я М И К А Д С Ш Р;39; О Ф Х А Х Ц Г Я М Т
4152;mouse 5 12;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4153;mouse 5 13;О Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Я Э М И Л К А Х Ц Г Я Э М И Л Е Р;25; О Ф Х А Х Ц Г Я М Т
4154;mouse 5 14;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я М Т
4155;mouse 5 15;О Ф Х А К И К А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4156;mouse 5 16;О Ф Х А Х Ц Г Ц З У Щ Т Щ У З Ц Х К И М Я Г Ц Ф Х А К И М Я Г Ц Ф О Ы О Ф Ц Г Ц Я Э Ж Т Щ У З Г Ц Х А К Л К Л Е Р;48; О Ф Х А Х Ц Г Я М Т
4157;mouse 7 18;О Ф Ц Г З У;5; О Ф Х А Х Ц Г Я Э Т
4158;mouse 7 1;О Ф Х А К Л Е Р Е Л И М Ф Ц Г Я М Ф Х А Д С Ш Р;16; О Ф Х А К Л Е Р Т
4159;mouse 7 2;О Ф Ц Г Я М О Ы О Ф Х А К Л Е Р;12; О Ф Х А К И М Я Г Т
4160;mouse 7 3;О М Я Г З У Щ Т Ж Э М Ф Х А К И М Я Г Ц Х А К Л Е Р;17; О Ф Х А К И М Я Г Т
4161;mouse 7 4;О Ф Х А Х Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
4162;mouse 7 5;О Ф Х А К Л Е Р;4; О Ф Х А К И М Я Г Т
4163;mouse 7 6;О Ф Ц Г З У Щ Т Ж Э Я Г Я М И К А Х Ц Г Я Э Ж Т;20; О Ф Х А К И М Я Г Т
4164;mouse 7 7;О Ф Х А К Л Е Р Е Л К А К И М Я Г Ц Х А К Л Е Р;19; О Ф Х А Х Ц Г Я Э Т
4165;mouse 7 8;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4166;mouse 7 9;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4167;mouse 7 10;О Ф Х А Х Ц Г Я М И К А Х Ц Г З У Щ Т;10; О Ф Х А Х Ц Г Я М Т
4168;mouse 7 11;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4169;mouse 7 12;О Ф Х А К И М Я Г Ц Х А К Л Е Р;11; О Ф Х А Х Ц Г Я М Т
4170;mouse 7 13;О М Э Ж Т Ж В Ж Т Ж Э М Ф Х А Х Ц Г Я Э Ж Т Щ У З Ц Х А К И О Ы О Ф Ц Г Ц Х А К Л Е Р;35; О Ф Х А Х Ц Г Я М Т
4171;mouse 7 14;О М Я Г Я М Э Ж Т Ж Э М Ф Х А К Л Е Р Ш С Д А Х Ц Г Я М Ф И Л Е Р;24; О Ф Х А Х Ц Г Я М Т
4172;mouse 7 15;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
4173;mouse 7 16;О Ф Х А Х Ц Г Я Э Ж Щ У З Г Ц Х А К Л Е Р Ш С Д А Х Ф М Я Г Ц Х К Л Е Р;27; О Ф Х А Х Ц Г Я Э Т
4174;mouse 7 17;О М Я Г З У З Я Э М И К А Х Ц Г Ц Х А К Л Е Р;18; О Ф Х А Х Ц Г Я Э Т
4175;mouse 7 18;Щ Т;9; О Ф Х А Х Ц Г Я Э Т
4176;mouse 7 19;О Ф Х А К И М Э Ж Щ У З Ц Ф О Ы О М Я Г Ц Х А К Л Е Р Ш С Д А Х Ц Г Я Э Ж Т;29; О Ф Х А Х Ц Г Я Э Т
4177;mouse 7 20;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
4178;mouse 7 21;О Ф Х А К Л И Ф Ц Г Ц Х А Х Ф И К А К И Ф Х А Х Ц Г Я М Ф Ц Г Я М И Л К А Х Ц Г Я Э Ж Щ У З Ц Ф И Л Е Р;43; О Ф Х А Х Ц Г Я Э Т
4179;mouse 7 22;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
4180;mouse 7 23;О М Я Г К О Е Ц О Ы Т О Г О В Р Е М Е И Ц Ф И Л Е Р;23; О Ф Х А Х Ц Г Я Э Т
4181;mouse 8 1;О Ф Ц Г З У Щ Т;6; О Ф Х А К Л Е Р Т
4182;mouse 8 2;О Ф Х А Д С Ш Р;5; О Ф Х А К И М Я Г Т
4183;mouse 8 3;О Ф Ц Г Ц Х А К Л Е Р Е Л И М Я Г Ц Х А К Л И М Я Г Ц Х А К Л Е Р;24; О Ф Х А К И М Я Г Т
4184;mouse 8 4;О Ф Ц Г Я Э Ж Т;7; О Ф Х А К И М Я Г Т
4185;mouse 8 5;О Ф Ц Г Ц Х А К А Х Ц Г Ц Ф О Ы О Ф Ц Г Ц Х К Л Е Р;20; О Ф Х А К И М Я Г Т
4186;mouse 8 6;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4187;mouse 8 7;О Ф Х А К И М Я Г Ц Х А Х Ц Г Я Э Ж Т;11; О Ф Х А Х Ц Г Я М Т
4188;mouse 8 8;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4189;mouse 8 9;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4190;mouse 8 10;О Ф Ц Г Я М Ф Х К Л Е Р;9; О Ф Х А Х Ц Г Я М Т
4191;mouse 8 11;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4192;mouse 8 12;О Ф Х А Х Ц Г Ц Х А К Л Е Р Ш С Д А Х Ц Г Я Э Ж Т;17; О Ф Х А Х Ц Г Я М Т
4193;mouse 8 13;О Ф Х А К Л Е Р Ш С Д С Ш Р;10; О Ф Х А Х Ц Г Я М Т
4194;mouse 8 14;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4195;mouse 8 15;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4196;mouse 8 16;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4197;mouse 8 17;О Ф Ц Г Я Э Ж Т Щ У З Ц Ф И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
4198;mouse 8 18;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4199;mouse 8 19;О Ф Х А К И Ф Ц Г Я М И К А Х Ц Г З У З Ц Х А К Л Е Р;19; О Ф Х А Х Ц Г Я М Т
4200;mouse 8 20;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4201;mouse 8 21;О Ф Х А Х Ц Г Я Г Ц Ф Х Ф М Э Ж Т;8; О Ф Х А Х Ц Г Я М Т
4202;mouse 8 22;О Ф Х А Х Ц Г Ц Х А К И М Я Г Ц Ф И Л Е Р;13; О Ф Х А Х Ц Г Я М Т
4203;mouse 8 23;О Ф Х А Х Ц Г Я Э В Ж Т;5; О Ф Х А Х Ц Г Ц Х Т
4204;mouse 8 24;О Ф Х А Х Ц Г Ц Г Ц Ф И К А Х Ц Г Ц Х Ц Х А К Л Е Р Ш С Д Х Ф О Ы О И Л Е Р;31; О Ф Х А Х Ц Г Я М Т
4205;mouse 8 25;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4206;mouse 9 1;О Ф Ц Г Я М И К А К Л Е Р;10; О Ф Х А К И М Я Г Т
4207;mouse 9 2;О Ф Ц Г Ц Х А К Л Е Р;7; О Ф Х А К И М Я Г Т
4208;mouse 9 3;О Ф Ц Г Ц Х А К И М Я Г Ц Х А К Л Е Р;10; О Ф Х А К И М Я Г Т
4209;mouse 9 4;О Ф Ц Г Ц Х А К И М Э Ж Т;9; О Ф Х А Х Ц Г Я М Т
4210;mouse 9 5;О Ф Х А Х Ц Г Я М И К А Х Ц Г З У Щ Т;10; О Ф Х А Х Ц Г Я М Т
4211;mouse 9 6;О Ф Х А Х Ц Г Я Г Ц Х Ц Г Ц Ф И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
4212;mouse 9 7;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4213;mouse 9 8;О Ф Х А К И Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4214;mouse 9 9;О Ф Ц Г Ц Х А К И М Я Г Ц Х А К И О Ы О М Э Ж Т;18; О Ф Х А Х Ц Г Я М Т
4215;mouse 9 10;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4216;mouse 9 11;О Ф Х А К И Ф Х А Х Ц Г З У Щ Т;9; О Ф Х А Х Ц Г Я М Т
4217;mouse 9 12;О Ф Х А Х Ц Г Ц Х Ц Ф И К А Х Ц Г Ц Х А К Л Е Р;17; О Ф Х А Х Ц Г Я М Т
4218;mouse 9 13;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4219;mouse 9 14;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4220;mouse 9 15;О Ф Ц Х А К Л Е Р;6; О Ф Х А Х Ц Г Я М Т
4221;mouse 9 16;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4222;mouse 9 17;О Ф Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
4223;mouse 9 18;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4224;mouse 9 19;О Ф Ц Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я М Т
4225;mouse 9 20;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
4226;mouse 9 21;О Ф Х А К Л И Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4227;mouse 9 22;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4228;mouse 9 23;О Ф Ц Г Ц Х А Х Ц Г Я Э Ж Т Щ У З Г Ц Ф И Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
4229;mouse 9 24;О Ф Х А Х Ф И Л Е Р;5; О Ф Х А Х Ц Г Я М Т
4230;mouse 9 25;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4231;mouse 9 26;О Ф Ц Г Ц Х А Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
4232;mouse 9 27;О Ф Х А К А Д Х Ц Г Я Э Ж Т;5; О Ф Х А Х Ц Г Я Э Т
4233;mouse 9 28;О Ф Х А К А К И М Я М И Л Е Р;9; О Ф Х А Х Ц Г Я М Т
4234;mouse 9 29;О Ф Х А Х Ц Г Ц Я М И К А Х Ц Г Я М И Л Е Р;14; О Ф Х А Х Ц Г Я Э Т
4235;mouse 9 30;О Ф Х А Х К Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4236;mouse 9 31;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4237;mouse 9 32;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
4238;mouse 9 33;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
4239;mouse 9 34;О Ф Х А К Л Е Ш С Д А Х Ц Г Ц Х А Х Ц Г Я З У Щ Т;17; О Ф Х А Х Ц Г Я Э Т
4240;mouse 9 35;О Ф Х А К А К Л Е Р;6; О Ф Х А Х Ц Г Я Э Т
4241;mouse 10 1;О Ф Ц Г Ц Х А К Л Е Р Ш С Д А Х Ц Г Я Э Ж Т Щ У З Г Ц Х А К И М Э Ж Т;28; О Ф Х А К И М Я Г Т
4242;mouse 10 2;О Ф Ц Г Ц Х Д С Ш Р Ш С Д Х Ц Г Ц Ф О Ы О И К И М Э Ж Щ У З Г Ц Ф И К А Х Ц Г З У З Г Ц Х А К Х Ф О Ы О И Л Е Р;49; О Ф Х А К И М Я Г Т
4243;mouse 10 3;О Ф Ц Г Ц Х А К Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4244;mouse 10 4;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
4245;mouse 10 5;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4246;mouse 10 6;О Ф Х А Х Ц Г Я Г Ц Х А К И М Я Г Ц Ф И Л Е Р;14; О Ф Х А Х Ц Г Я М Т
4247;mouse 10 7;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4248;mouse 10 8;О Ф Х А Х Ц Г Я З У Щ Т;4; О Ф Х А Х Ц Г Я М Т
4249;mouse 10 9;О Ф Х А Х Ц Г Я Ц Ф И К А Д К И М Я Г Ц Г Ц Я М И Л Е Р;19; О Ф Х А Х Ц Г Я М Т
4250;mouse 10 10;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
4251;mouse 10 11;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4252;mouse 10 12;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
4253;mouse 10 13;О Ф Х А Х Ц Г Ц Ф И Л Е Р;6; О Ф Х А Х Ц Г Я М Т
4254;mouse 10 14;О Ф Х А К Л Е Р Ш С Д Х Ц Г Я Г Ц Ф И Л Е Р;14; О Ф Х А Х Ц Г Я Э Т
4255;mouse 10 15;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4256;mouse 10 16;О Ф Х А Х Ц Г Я Э Ж Т;2; О Ф Х А Х Ц Г Я Э Т
4257;mouse 10 17;О Ф Х А Х Ц Г Ц Х Ц Ф О Ы О Ф И Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
4258;mouse 10 18;О Ф Ц Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4259;mouse 10 19;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
4260;mouse 10 20;О Ф Х А К Л Е Л И М Я Г Ц Г Ц Х А К Л Е Ш Р;16; О Ф Х А Х Ц Г Я Э Т
4261;mouse 10 21;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
4262;mouse 10 22;О Ф Ц Г Ц Ф М Я Э Ж Т;7; О Ф Х А Х Ц Г Я Э Т
4263;mouse 10 23;О Ф Ц Г Ц Ф И К А Х Ц Г З У Щ Т;10; О Ф Х А Х Ц Г Ц Х Т
4264;mouse 10 24;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Ц Х Т
4265;mouse 10 25;О Ф Ц Г Ц Х А К И М Я Г Ц Х А Х Ф М И Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
4266;mouse 10 26;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4267;mouse 10 27;О Ф Х А Х Ц Г Ц Х А К Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
4268;mouse 10 28;О Ф Х А Х Ц Г З У З Г Ц Ф И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
4269;mouse 10 29;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Ц Х Т
4270;mouse 10 30;О Ф Ц Г Ц Ф И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
4271;mouse 10 31;О Ф Х А К И М Я Г Ц Х А Д С Ш С Д А Х Ц Г Я М И Л Е Р;20; О Ф Ц Г Ц Х А К Л Т
4272;mouse 15 7;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
